symbol,avg_buy_price,peak_price,decay_pct,decay_target,trailing_target,old_target,new_target,action,reason
ARI,7.02,7.06,0.05,7.38,6.92,7.38,7.38,unchanged,decay (trailing 6.92 invalid, below avg buy price; peak unchanged, current price ~6.87-6.91 well below target)
SOBR,1.20,1.215,0.05,1.26,1.20,1.26,1.26,unchanged,decay (trailing 1.20 invalid; current price ~0.58-0.59, down sharply from 1.215 peak set earlier today)
ALP,0.25,0.2578,0.05,0.263,0.253,0.263,0.263,unchanged,decay (trailing 0.253 < decay target; current price ~0.21-0.22)
VIVS,0.67,0.670,0.05,0.704,0.657,0.704,0.704,unchanged,decay (trailing 0.657 invalid, below avg buy price; current price ~0.51-0.56)
ZBAO,0.25,0.2578,0.05,0.263,0.253,0.263,0.263,unchanged,decay (trailing 0.253 < decay target)
VCIG,1.10,1.24,0.05,1.16,1.22,1.22,1.22,unchanged,trailing (peak 1.24 unchanged since last firing; current price ~0.63-0.74)
PLAG,0.98,1.01,0.05,1.03,0.99,1.03,1.03,unchanged,decay (trailing 0.99 < decay target; current price ~0.58-0.71, down sharply from 1.01 peak)
STFS,11.15,10.38,0.05,11.71,10.18,11.71,11.71,unchanged,decay (trailing 10.18 invalid, below avg buy price; current price ~6.31-7.01, down sharply from 10.38 peak)
CYCU,0.39,0.407,0.05,0.41,0.399,0.41,0.41,unchanged,decay (trailing 0.399 < decay target; current price ~0.29-0.31)
CSAI,0.37,0.39,0.05,0.389,0.383,0.389,0.389,unchanged,decay (trailing 0.383 < decay target; current price ~0.29-0.30)
CETY,1.02,0.9898,0.05,1.08,,1.08,1.08,unchanged,decay (peak below avg buy price, trailing invalid; current price ~0.89-0.96)
POM,1.11,1.13,0.05,1.17,1.11,1.17,1.17,unchanged,decay (trailing 1.11 invalid; current price ~0.77-0.86, down sharply from 1.13 peak)
FRGT,3.82,3.93,0.05,4.02,3.86,4.02,4.02,unchanged,decay (trailing 3.86 < decay target; current price ~3.30-3.33)
DFNS,6.02,,0.05,6.33,,6.33,,filled_no_replacement,"resting sell for 4 of 4.256 shares FILLED this hour at avg 6.39 (limit 6.33) -- realized gain ~$1.48 on the 4-share tranche; remaining 0.256 fractional shares have no resting order and none can be placed (platform only allows fractional quantities on market orders, not limit orders); no discoverable buy-fill order for the current DFNS instrument (a same-ticker buy fill found in history belongs to a different instrument_id, pre-existing quirk)"
GVH,2.16,2.09,0.05,2.27,2.05,2.27,2.27,unchanged,decay (trailing 2.05 invalid, below avg buy price; current price ~1.03-1.16, down sharply from 2.09 peak)
MSS,0.46,0.4796,0.05,0.483,0.471,0.483,0.483,unchanged,decay (trailing 0.471 < decay target; current price ~0.44-0.46)
BIVI,1.43,1.49,0.05,1.51,1.47,1.51,1.51,unchanged,decay (trailing 1.47 < decay target; current price ~1.42-1.45)
GLXG,0.92,0.9641,0.05,0.966,0.945,0.966,0.966,unchanged,"decay (peak advanced intraday 0.945->0.9641, trailing 0.945 still < decay target 0.966)"
QMLS,12.00,11.9999,0.05,12.60,,12.60,12.60,unchanged,decay (peak below avg buy price, trailing invalid; current price ~5.4-6.1, down sharply from 11.9999 peak)
TEMT,16.95,17.5597,0.05,17.80,17.21,17.80,17.80,unchanged,decay (trailing 17.21 < decay target; current price ~17.03-17.41)
