symbol,old_target,new_target,peak_price,decay_pct,action,reason
VIVS,0.665,0.657,0.67,0.05,updated,"peak since 7/16 fill recalculated at 0.67 (post-fill bars only); trailing_target=0.657 (peak*0.98) exceeds decay_target=0.578; order lowered to 0.657 per algorithm (differs >$0.0005 from prior 0.665)"
VCIG,1.22,1.22,1.24,0.05,no_change,"decay_target=1.16, trailing_target=1.22 (peak 1.24*0.98) equals current resting price; no update needed"
STFS,11.71,11.71,10.38,0.05,no_change,"peak 10.38 below avg_buy_price 11.15, trailing invalid; decay_target=11.71 unchanged"
CSAI,0.388,0.389,0.39,0.05,updated,"decay_target recomputed to 0.389 (from 0.388, sub-penny); trailing_target=0.383 valid but lower than decay"
GVH,2.27,2.27,2.09,0.05,no_change,"peak 2.09 below avg_buy_price 2.16, trailing invalid; decay_target=2.27 unchanged"
QMLS,12.6,12.6,11.9999,0.05,no_change,"peak still ~at avg_buy_price, trailing invalid; decay_target=12.60 unchanged"
AMPG,6.05,6.05,5.76,0.05,no_change,"peak equals avg_buy_price, trailing invalid; decay_target=6.05 unchanged"
ATER,0.504,0.504,0.4825,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=0.504 unchanged"
CBRG,4.79,4.79,4.55,0.05,no_change,"peak 4.55 below avg_buy_price 4.56, trailing invalid; decay_target=4.79 unchanged"
SKHL,10.1,10.1,9.71,0.05,no_change,"peak 9.71 above avg_buy_price 9.61 but trailing target (9.52) below decay_target=10.10; unchanged"
AAOG,3.21,3.21,3.0901,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=3.21 unchanged"
COHH,7.84,7.84,7.2543,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=7.84 unchanged"
BAOS,1.73,1.73,1.61,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=1.73 unchanged"
XHG,1.1,1.1,1.01,0.05,no_change,"illiquid symbol (mostly interpolated bars); peak below avg_buy_price 1.04, trailing invalid; decay_target=1.10 unchanged"
IREG,9.04,9.05,9.0,0.05,updated,"decay_target recomputed to 9.05 (from 9.04, rounding drift); trailing_target=8.82 valid but lower"
MODD,3.1,3.1,2.85,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=3.10 unchanged"
SNDC,9.43,9.43,9.0,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=9.43 unchanged"
KEEL,4.76,4.76,4.5266,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=4.76 unchanged"
SKYQ,4.1,4.1,3.9,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=4.10 unchanged"
BCAR,9.55,9.55,8.61,0.05,no_change,"peak below breakeven cushion, trailing invalid; decay_target=9.55 unchanged"
TPET,0.281,0.284,0.2738,0.05,updated,"decay_target recomputed to 0.284 (from 0.281); trailing invalid (peak*0.98=0.268 < avg_buy 0.27)"
DWSN,4.5,4.5,4.37,0.05,no_change,"bought today 9:44:43 ET, 121min elapsed; peak 4.37 > avg_buy_price 4.28 (breakeven touched, auto-liquidate not triggered); decay_target=4.50 unchanged, trailing invalid vs decay"
INDP,1.8,FILLED,1.789,0.05,filled,"bought today 9:44:50 ET, 121min elapsed; peak 1.789 > avg_buy_price 1.70 (breakeven touched, auto-liquidate not triggered); resting sell @1.80 filled while cancel/replace was in flight -- position closed, no replacement placed"
